When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,Yes,Staff,,,Other (please specify),Librarian supporting Engineering and Built Environment ,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Very unsatisfied,Strongly agree,Neutral,Neutral,Neutral,I don't have any knowledge of scripting language and my analysis of data using technology and software is extremely limited.  I am keen to start learning these tools and techniques. ,No
I am taking this survey before coming to the workshop,Yes,Staff,,,Other (please specify),Library,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Neutral,Strongly agree,Neutral,Neutral,Neutral,An insight in how to use programming and data software to enhance both my own research data management/analysis as well as the library's approach to managing data services.,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Staff,,library,Administration,,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Other (please specify),Power Asset Manager,Energy,Computer science and electrical engineering,,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I'm hoping to learn a new product that can make our forecasting easier and more efficient.,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Retired Professor/Lecturer,Quantitative and Molecular Geneticsi ,"Life science (biology, genetics)",,Windows,Yes,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,IMLS,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,MATLAB","Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Agree,Agree,Agree,Neutral,Development of a R analysis pipeline.  To understand how the scripts work I use.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Life Sciences,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Neutral,Neutral,"How to analyse my data myself and be confident that I generate plots and calculations correctly. Getting a ""feeling"" for R.",No
I am taking this survey before coming to the workshop,Yes,Faculty,,Aquatic Post-harvest,"Life science (ecology, zoology, botany)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Neutral,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I want to learn how to use R in fisheries statistics or sequence analysis.,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Biology,Other (please specify),"Life science (biology, genetics, botany, ecology, zoology)",Apple OS,No,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Not applicable,Not applicable,Agree,Agree,Strongly agree,Agree,I hope to learn at the least the basics of R and Phyton if not master the programs.,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),Researcher,Aquaculture Department/ Genetics,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,I have very little exposure to bioinformatics work and the learnings from this workshop can help me understand its applications in my field of research,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Practical Genomics,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Agree,Agree,Agree,Agree,"How to use the programming language to achieve our ends, such as de novo assembly, and SNPs mining.",No
I am taking this survey before coming to the workshop,Yes,Faculty,,Biology (Botany),"Life science (ecology, zoology, botany)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,how to use the software in our biodiversity research,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),Government employee,Resource and Ecological Assessment Division - Genetic Fingerprinting Laboratory,"Life science (biology, genetics)",,Windows,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Agree,I hope to learn a more established framework on data analysis of big data sets.,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Biology - Ecology,"Life science (biology, genetics)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Chemical Engineering,"Life science (biology, genetics)",,Windows,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB",I do not have data yet.,Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Center for Mind and Brain,Brain and neurosciencse,,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,MATLAB",I do not have data yet.,Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,analyzing and visualizing data more efficiently,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Psychology,Brain and neurosciencse,,Windows,Yes,Monthly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Psychology,Brain and neurosciencse,,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB",I am working on generating data.,Unsatisfied,Neutral,Agree,Strongly agree,Strongly agree,Neutral,The most efficient ways to set up analyses and easy ways to customize scripts for future use.,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,psychology,Other (please specify),Psychology,Apple OS,Not sure,Less than once a year,,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Disagree,Neutral,"I would like to gain some familiarity with R and programming language in general, and get some ideas about data organization that I can apply to my own data. Mainly thought, I'd love to shed my somewhat crippling fear of R.",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Sociology,Other (please specify),Social Science,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Neutral,Neutral,Neutral,Becoming familiar with R,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R",I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Neutral,"I have been mainly self taught through references and websites, I would like to be formally trained, learn tons of stuff and get feedback/ insight on how things are done by the real experts.",No
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Psychology,Other (please specify),Psychology,Apple OS,Not sure,Monthly,,"R,Python","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Agree,Agree,Agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,,Brain and neurosciencse,,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Basics of R and how to use it in my research.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Psychology,Other (please specify),Social Science,Windows,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Advanced data management and data visualization techniques. And maybe get introduced to useful resources to do advanced statistics including mixed-effects regression models,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Neuroscience,Brain and neurosciencse,,Windows,No,Daily,,"R,MATLAB","Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Humanities Institute,Administration,,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,What tools are available for which functions. ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Linguistics,Other (please specify),Linguistics,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Agree,Disagree,A better understanding of how to use R for data analysis,Yes
